"","Date","Precipitation_mmd","ActualEvaporation_mmd","ObservedRecharge"
"1","01.01.2012",0,4.49,0
"2","02.01.2012",0,5.2,0
"3","03.01.2012",0,5.47,0
"4","04.01.2012",0,4.7,0
"5","05.01.2012",9.3,5.02,0
"6","06.01.2012",1,4.79,0
"7","07.01.2012",0.6,4.2,0
"8","08.01.2012",0,5.48,0
"9","09.01.2012",3.7,4.38,0
"10","10.01.2012",1.5,4.87,0
"11","11.01.2012",0,4.8,0
"12","12.01.2012",0,3.55,0
"13","13.01.2012",0,4.23,0
"14","14.01.2012",0,3.59,0
"15","15.01.2012",6.3,3,0
"16","16.01.2012",18.6,4.4,0
"17","17.01.2012",3.2,2.51,0
"18","18.01.2012",41.9,5.66,0
"19","19.01.2012",9.4,6.41,0
"20","20.01.2012",0,4.47,0
"21","21.01.2012",0,3.72,0
"22","22.01.2012",0.3,2.56,0
"23","23.01.2012",21.5,3.39,0
"24","24.01.2012",64.5,5.45,0
"25","25.01.2012",36.2,3.51,0
"26","26.01.2012",59.1,5.2,0
"27","27.01.2012",27.8,3.93,0
"28","28.01.2012",23.9,3.61,0
"29","29.01.2012",1.7,2.87,0
"30","30.01.2012",1.6,3.48,0
"31","31.01.2012",0.8,3.08,0
"32","01.02.2012",54.8,4.2,0
"33","02.02.2012",58.4,5.23,0
"34","03.02.2012",9.7,3.12,0
"35","04.02.2012",1.2,4.67,0
"36","05.02.2012",8.4,5.77,0
"37","06.02.2012",0,4.8,0
"38","07.02.2012",3.4,3.45,0
"39","08.02.2012",30.3,4.81,0
"40","09.02.2012",5.1,3.59,0
"41","10.02.2012",4,3.88,0
"42","11.02.2012",13,5.38,0
"43","12.02.2012",5.7,5.07,0
"44","13.02.2012",2,4.52,0
"45","14.02.2012",5.6,4.79,0
"46","15.02.2012",1.4,3.26,0
"47","16.02.2012",0.4,3.59,0
"48","17.02.2012",0,4.2,0
"49","18.02.2012",0,3.91,0
"50","19.02.2012",5.1,4.57,0
"51","20.02.2012",3.1,4.98,0
"52","21.02.2012",15,4.71,0
"53","22.02.2012",0,3.35,0
"54","23.02.2012",6.2,4.33,0
"55","24.02.2012",0,4.06,0
"56","25.02.2012",0.3,2.77,0
"57","26.02.2012",0,2.75,0
"58","27.02.2012",0,3.74,0
"59","28.02.2012",0,4.73,0
"60","29.02.2012",0,4.69,0
"61","01.03.2012",0,4.52,0
"62","02.03.2012",0.1,1.94,0
"63","03.03.2012",13.1,2.34,0
"64","04.03.2012",4.5,3.73,0
"65","05.03.2012",0.4,3.27,0
"66","06.03.2012",37.4,3.91,0
"67","07.03.2012",2,2.37,0
"68","08.03.2012",3.7,4.05,0
"69","09.03.2012",0,3.75,0
"70","10.03.2012",0.7,3.91,0
"71","11.03.2012",0.2,3.63,0
"72","12.03.2012",0,1.89,0
"73","13.03.2012",0.1,3.09,0
"74","14.03.2012",0,2.55,0
"75","15.03.2012",0.1,2.92,0
"76","16.03.2012",2.5,4.08,0
"77","17.03.2012",2.5,2.2,0
"78","18.03.2012",10.7,3.34,0
"79","19.03.2012",0.4,2.44,0
"80","20.03.2012",24.5,3.54,0
"81","21.03.2012",12.4,3.41,0
"82","22.03.2012",1.1,3.38,0
"83","23.03.2012",0.3,4.18,0
"84","24.03.2012",0,2.83,0
"85","25.03.2012",0,2.58,0
"86","26.03.2012",0,1.61,0
"87","27.03.2012",1,3.2,0
"88","28.03.2012",1.1,2.55,0
"89","29.03.2012",1.1,3.31,0
"90","30.03.2012",2.1,3.28,0
"91","31.03.2012",6.2,3.61,0
"92","01.04.2012",0.1,3.11,0
"93","02.04.2012",0,2.8,0
"94","03.04.2012",1,3.67,0
"95","04.04.2012",0,2.95,0
"96","05.04.2012",0,2.73,0
"97","06.04.2012",0,2.63,0
"98","07.04.2012",0,2.93,0
"99","08.04.2012",0.2,3.32,0
"100","09.04.2012",0.2,2.7,0
"101","10.04.2012",0,1.99,0
"102","11.04.2012",0.1,1.62,0
"103","12.04.2012",0.3,2.08,0
"104","13.04.2012",0.1,1.8,0
"105","14.04.2012",0.9,2.62,0
"106","15.04.2012",1.6,2.95,0
"107","16.04.2012",2.4,2.2,0
"108","17.04.2012",16.4,2.43,0
"109","18.04.2012",17.5,3.13,0
"110","19.04.2012",2.8,2.77,0
"111","20.04.2012",2.8,3.24,0
"112","21.04.2012",0.6,2.96,0
"113","22.04.2012",0,2.02,0
"114","23.04.2012",0.4,1.69,0
"115","24.04.2012",17.4,3.13,0
"116","25.04.2012",0.1,2,0
"117","26.04.2012",3.2,2.45,0
"118","27.04.2012",0,1.55,0
"119","28.04.2012",4.8,1.99,0
"120","29.04.2012",6.1,2.69,0
"121","30.04.2012",2.7,2.09,0
"122","01.05.2012",0.5,2.02,0
"123","02.05.2012",0.2,2.17,0
"124","03.05.2012",0.2,1.94,0
"125","04.05.2012",2.9,2.49,0
"126","05.05.2012",0.6,2.4,0
"127","06.05.2012",0,1.86,0
"128","07.05.2012",0.2,1.84,0
"129","08.05.2012",0,1.84,0
"130","09.05.2012",0,1.91,0
"131","10.05.2012",0,1.91,0
"132","11.05.2012",0,1.97,0
"133","12.05.2012",0,1.88,0
"134","13.05.2012",0.6,1.95,0
"135","14.05.2012",0,1.18,0
"136","15.05.2012",0,1.42,0
"137","16.05.2012",0,1.33,0
"138","17.05.2012",0,1.49,0
"139","18.05.2012",0.1,1.69,0
"140","19.05.2012",0,1.6,0
"141","20.05.2012",0,1.45,0
"142","21.05.2012",0,1.46,0
"143","22.05.2012",0,1.61,0
"144","23.05.2012",0.1,1.52,0
"145","24.05.2012",0,1.54,0
"146","25.05.2012",7.2,1.72,0
"147","26.05.2012",1.1,1.83,0
"148","27.05.2012",0.1,1.29,0
"149","28.05.2012",0.1,1.17,0
"150","29.05.2012",0.6,1.4,0
"151","30.05.2012",0.9,1.62,0
"152","31.05.2012",0.4,1.34,0
"153","01.06.2012",3.4,1.79,0
"154","02.06.2012",1.1,1.62,0
"155","03.06.2012",2,1.75,0
"156","04.06.2012",4.1,2.09,0
"157","05.06.2012",0.3,1.14,0
"158","06.06.2012",0.3,1.04,0
"159","07.06.2012",0.5,1.44,0
"160","08.06.2012",0.8,1.58,0
"161","09.06.2012",0.1,1.18,0
"162","10.06.2012",0.1,1.13,0
"163","11.06.2012",1.4,1.38,0
"164","12.06.2012",15.7,2.33,0
"165","13.06.2012",9.7,2.08,0
"166","14.06.2012",0.4,1.59,0
"167","15.06.2012",0.5,1.8,0
"168","16.06.2012",0,1.21,0
"169","17.06.2012",0.8,1.63,0
"170","18.06.2012",0,1.02,0
"171","19.06.2012",0,1.11,0
"172","20.06.2012",0.1,1.19,0
"173","21.06.2012",0,1.21,0
"174","22.06.2012",0,1.15,0
"175","23.06.2012",0.1,1,0
"176","24.06.2012",0,1.03,0
"177","25.06.2012",0,1.09,0
